,GOOG,GOOG,GOOG,GOOG
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,5561000000.0,5589000000.0,6037000000.0,5128000000.0
AccountsReceivable,25326000000.0,30930000000.0,39304000000.0,40258000000.0
AccumulatedDepreciation,-30561000000.0,-41713000000.0,-49414000000.0,-59042000000.0
AllowanceForDoubtfulAccountsReceivable,-753000000.0,-753000000.0,-550000000.0,-754000000.0
CapitalLeaseObligations,12009000000.0,12840000000.0,15551000000.0,16822000000.0
CapitalStock,50552000000.0,58510000000.0,61774000000.0,68184000000.0
CashAndCashEquivalents,18498000000.0,26465000000.0,20945000000.0,21879000000.0
CashCashEquivalentsAndShortTermInvestments,119675000000.0,136694000000.0,139649000000.0,113762000000.0
CommonStock,50552000000.0,58510000000.0,61774000000.0,68184000000.0
CommonStockEquity,201442000000.0,222544000000.0,251635000000.0,256144000000.0
ConstructionInProgress,21036000000.0,23111000000.0,23171000000.0,27657000000.0
CurrentAccruedExpenses,18379000000.0,24028000000.0,27847000000.0,34653000000.0
CurrentAssets,152578000000.0,174296000000.0,188143000000.0,164795000000.0
CurrentCapitalLeaseObligation,1199000000.0,1694000000.0,2189000000.0,2477000000.0
CurrentDebtAndCapitalLeaseObligation,1199000000.0,1694000000.0,2189000000.0,2477000000.0
CurrentDeferredLiabilities,1908000000.0,2543000000.0,3288000000.0,3908000000.0
CurrentDeferredRevenue,1908000000.0,2543000000.0,3288000000.0,3908000000.0
CurrentLiabilities,45221000000.0,56834000000.0,64254000000.0,69300000000.0
GainsLossesNotAffectingRetainedEarnings,-1232000000.0,633000000.0,-1623000000.0,-7603000000.0
Goodwill,20624000000.0,21175000000.0,22956000000.0,28960000000.0
GoodwillAndOtherIntangibleAssets,22603000000.0,22620000000.0,24373000000.0,31044000000.0
GrossAccountsReceivable,26079000000.0,31683000000.0,39854000000.0,41012000000.0
GrossPPE,115148000000.0,138673000000.0,159971000000.0,186091000000.0
IncomeTaxPayable,274000000.0,1485000000.0,808000000.0,
Inventory,999000000.0,728000000.0,1170000000.0,2670000000.0
InvestedCapital,205400000000.0,236476000000.0,264479000000.0,269001000000.0
InvestmentinFinancialAssets,13078000000.0,20703000000.0,29549000000.0,30492000000.0
InvestmentsAndAdvances,13078000000.0,20703000000.0,29549000000.0,30492000000.0
LandAndImprovements,39865000000.0,49732000000.0,58881000000.0,66897000000.0
Leases,6310000000.0,7516000000.0,9146000000.0,10575000000.0
LongTermCapitalLeaseObligation,10810000000.0,11146000000.0,13362000000.0,14345000000.0
LongTermDebt,3958000000.0,13932000000.0,12844000000.0,12857000000.0
LongTermDebtAndCapitalLeaseObligation,14768000000.0,25078000000.0,26206000000.0,27202000000.0
MachineryFurnitureEquipment,156000000.0,197000000.0,208000000.0,314000000.0
NetPPE,84587000000.0,96960000000.0,110557000000.0,127049000000.0
NetTangibleAssets,178839000000.0,199924000000.0,227262000000.0,225100000000.0
NonCurrentDeferredAssets,721000000.0,1084000000.0,1284000000.0,5261000000.0
NonCurrentDeferredLiabilities,2059000000.0,4042000000.0,5792000000.0,1113000000.0
NonCurrentDeferredRevenue,358000000.0,481000000.0,535000000.0,599000000.0
NonCurrentDeferredTaxesAssets,721000000.0,1084000000.0,1284000000.0,5261000000.0
NonCurrentDeferredTaxesLiabilities,1701000000.0,3561000000.0,5257000000.0,514000000.0
OrdinarySharesNumber,13766700000.0,13504440000.0,13242420000.0,12849000000.0
OtherCurrentAssets,4412000000.0,5490000000.0,7054000000.0,8105000000.0
OtherCurrentLiabilities,9405000000.0,10409000000.0,9799000000.0,9106000000.0
OtherIntangibleAssets,1979000000.0,1445000000.0,1417000000.0,2084000000.0
OtherNonCurrentAssets,2342000000.0,3953000000.0,5361000000.0,6623000000.0
OtherNonCurrentLiabilities,2534000000.0,2269000000.0,2205000000.0,2247000000.0
OtherPayable,,,397000000.0,
OtherProperties,47781000000.0,58117000000.0,68565000000.0,80648000000.0
OtherShortTermInvestments,101177000000.0,110229000000.0,118704000000.0,91883000000.0
Payables,5835000000.0,7074000000.0,7242000000.0,5128000000.0
PayablesAndAccruedExpenses,24214000000.0,31102000000.0,35089000000.0,39781000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,8495000000.0,11086000000.0,13889000000.0,14028000000.0
PreferredStock,,,,0.0
Properties,0.0,0.0,0.0,0.0
Receivables,27492000000.0,31384000000.0,40270000000.0,40258000000.0
RetainedEarnings,152122000000.0,163401000000.0,191484000000.0,195563000000.0
ShareIssued,13766700000.0,13504440000.0,13242420000.0,12849000000.0
StockholdersEquity,201442000000.0,222544000000.0,251635000000.0,256144000000.0
TangibleBookValue,178839000000.0,199924000000.0,227262000000.0,225100000000.0
TaxesReceivable,2166000000.0,454000000.0,966000000.0,
TotalAssets,275909000000.0,319616000000.0,359268000000.0,365264000000.0
TotalCapitalization,205400000000.0,236476000000.0,264479000000.0,269001000000.0
TotalDebt,15967000000.0,26772000000.0,28395000000.0,29679000000.0
TotalEquityGrossMinorityInterest,201442000000.0,222544000000.0,251635000000.0,256144000000.0
TotalLiabilitiesNetMinorityInterest,74467000000.0,97072000000.0,107633000000.0,109120000000.0
TotalNonCurrentAssets,123331000000.0,145320000000.0,171124000000.0,200469000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,29246000000.0,40238000000.0,43379000000.0,39820000000.0
TotalTaxPayable,274000000.0,1485000000.0,808000000.0,
TradeandOtherPayablesNonCurrent,9885000000.0,8849000000.0,9176000000.0,9258000000.0
WorkingCapital,107357000000.0,117462000000.0,123889000000.0,95495000000.0
