,MSFT,MSFT,MSFT,MSFT,MSFT
asOfDate,2019-06-30 00:00:00,2020-06-30 00:00:00,2021-06-30 00:00:00,2022-06-30 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BeginningCashPosition,11946000000.0,11356000000.0,13576000000.0,14224000000.0,20604000000.0
CapitalExpenditure,-13925000000.0,-15441000000.0,-20622000000.0,-23886000000.0,-24768000000.0
CashDividendsPaid,-13811000000.0,-15137000000.0,-16521000000.0,-18135000000.0,-18964000000.0
CashFlowFromContinuingFinancingActivities,-36887000000.0,-46031000000.0,-48486000000.0,-58876000000.0,-52846000000.0
CashFlowFromContinuingInvestingActivities,-15773000000.0,-12223000000.0,-27577000000.0,-30311000000.0,-36182000000.0
CashFlowFromContinuingOperatingActivities,52185000000.0,60675000000.0,76740000000.0,89035000000.0,84386000000.0
ChangeInAccountPayable,232000000.0,3018000000.0,2798000000.0,2943000000.0,-446000000.0
ChangeInCashSupplementalAsReported,-590000000.0,2220000000.0,648000000.0,-293000000.0,-4958000000.0
ChangeInInventory,597000000.0,168000000.0,-737000000.0,-1123000000.0,22000000.0
ChangeInOtherCurrentAssets,-3552000000.0,-3367000000.0,-4391000000.0,-3514000000.0,-5233000000.0
ChangeInOtherCurrentLiabilities,2010000000.0,2694000000.0,5551000000.0,3169000000.0,3464000000.0
ChangeInOtherWorkingCapital,4462000000.0,2212000000.0,2324000000.0,5805000000.0,1476000000.0
ChangeInPayable,232000000.0,3018000000.0,2798000000.0,2943000000.0,-446000000.0
ChangeInPayablesAndAccruedExpense,232000000.0,3018000000.0,2798000000.0,2943000000.0,-446000000.0
ChangeInReceivables,-2812000000.0,-2577000000.0,-6481000000.0,-6834000000.0,-3212000000.0
ChangeInWorkingCapital,937000000.0,2148000000.0,-936000000.0,446000000.0,-3929000000.0
ChangesInAccountReceivables,-2812000000.0,-2577000000.0,-6481000000.0,-6834000000.0,-3212000000.0
ChangesInCash,-475000000.0,2421000000.0,677000000.0,-152000000.0,-4642000000.0
CommonStockDividendPaid,-13811000000.0,-15137000000.0,-16521000000.0,-18135000000.0,-18964000000.0
CommonStockIssuance,1142000000.0,1343000000.0,1693000000.0,1841000000.0,1756000000.0
CommonStockPayments,-19543000000.0,-22968000000.0,-27385000000.0,-32696000000.0,-28611000000.0
DeferredIncomeTax,-3534000000.0,-3620000000.0,-150000000.0,-5702000000.0,-2411000000.0
DeferredTax,-3534000000.0,-3620000000.0,-150000000.0,-5702000000.0,-2411000000.0
Depreciation,11682000000.0,12796000000.0,11686000000.0,14460000000.0,14190000000.0
DepreciationAmortizationDepletion,11682000000.0,12796000000.0,11686000000.0,14460000000.0,14190000000.0
DepreciationAndAmortization,11682000000.0,12796000000.0,11686000000.0,14460000000.0,14190000000.0
EffectOfExchangeRateChanges,-115000000.0,-201000000.0,-29000000.0,-141000000.0,-316000000.0
EndCashPosition,11356000000.0,13576000000.0,14224000000.0,13931000000.0,15962000000.0
FinancingCashFlow,-36887000000.0,-46031000000.0,-48486000000.0,-58876000000.0,-52846000000.0
FreeCashFlow,38260000000.0,45234000000.0,56118000000.0,65149000000.0,59618000000.0
GainLossOnInvestmentSecurities,-792000000.0,-219000000.0,,,
InvestingCashFlow,-15773000000.0,-12223000000.0,-27577000000.0,-30311000000.0,-36182000000.0
IssuanceOfCapitalStock,1142000000.0,1343000000.0,1693000000.0,1841000000.0,1756000000.0
IssuanceOfDebt,0.0,0.0,,,
LongTermDebtIssuance,0.0,0.0,,,
LongTermDebtPayments,-4000000000.0,-5518000000.0,-3750000000.0,-9023000000.0,-5947000000.0
NetBusinessPurchaseAndSale,-2388000000.0,-2521000000.0,-8909000000.0,-22038000000.0,-21010000000.0
NetCommonStockIssuance,-18401000000.0,-21625000000.0,-25692000000.0,-30855000000.0,-26855000000.0
NetIncome,39240000000.0,44281000000.0,61271000000.0,72738000000.0,67449000000.0
NetIncomeFromContinuingOperations,39240000000.0,44281000000.0,61271000000.0,72738000000.0,67449000000.0
NetInvestmentPurchaseAndSale,540000000.0,6980000000.0,2876000000.0,18438000000.0,13076000000.0
NetIssuancePaymentsOfDebt,-4000000000.0,-5518000000.0,-3750000000.0,-9023000000.0,-5947000000.0
NetLongTermDebtIssuance,-4000000000.0,-5518000000.0,-3750000000.0,-9023000000.0,-5947000000.0
NetOtherFinancingCharges,-675000000.0,-3751000000.0,-2523000000.0,-863000000.0,-1080000000.0
NetOtherInvestingChanges,,-1241000000.0,-922000000.0,-2825000000.0,-3480000000.0
NetPPEPurchaseAndSale,-13925000000.0,-15441000000.0,-20622000000.0,-23886000000.0,-24768000000.0
NetShortTermDebtIssuance,0.0,0.0,,,
OperatingCashFlow,52185000000.0,60675000000.0,76740000000.0,89035000000.0,84386000000.0
OperatingGainsLosses,-792000000.0,-219000000.0,-1249000000.0,-409000000.0,454000000.0
PurchaseOfBusiness,-2388000000.0,-2521000000.0,-8909000000.0,-22038000000.0,-21010000000.0
PurchaseOfInvestment,-57697000000.0,-77190000000.0,-62924000000.0,-26456000000.0,-30254000000.0
PurchaseOfPPE,-13925000000.0,-15441000000.0,-20622000000.0,-23886000000.0,-24768000000.0
RepaymentOfDebt,-4000000000.0,-5518000000.0,-3750000000.0,-9023000000.0,-5947000000.0
RepurchaseOfCapitalStock,-19543000000.0,-22968000000.0,-27385000000.0,-32696000000.0,-28611000000.0
SaleOfInvestment,58237000000.0,84170000000.0,65800000000.0,44894000000.0,43330000000.0
StockBasedCompensation,4652000000.0,5289000000.0,6118000000.0,7502000000.0,8633000000.0
